,precision,recall,f1-score,support
success,0.8403361344537815,0.9433962264150944,0.8888888888888888,106.0
never_reached_object,1.0,1.0,1.0,895.0
reached_but_failed_grasp,0.9385474860335196,0.8155339805825242,0.8727272727272727,206.0
grasped_but_dropped,0.625,0.75,0.6818181818181818,20.0
spoofed_goal,0.9180327868852459,0.9824561403508771,0.9491525423728814,57.0
divergent_transport,0.8333333333333334,0.9722222222222222,0.8974358974358975,36.0
accuracy,0.9613636363636363,0.9613636363636363,0.9613636363636363,0.9613636363636363
macro avg,0.8592082901176467,0.9106014282617862,0.8816704638738537,1320.0
weighted avg,0.9638214251723218,0.9613636363636363,0.9614013570176899,1320.0
