,precision,recall,f1-score,support
action_actuation,0.8795711558231752,0.8912202380952381,0.8853573804420134,6720.0
perception_state,0.6354883081155434,0.55,0.589661774090619,1680.0
goal_manipulation,0.973975276512687,0.8910714285714286,0.9306807584706248,3360.0
sensor_info_loss,0.7955335896027823,0.8623015873015873,0.8275730743597067,5040.0
accuracy,0.8483928571428572,0.8483928571428572,0.8483928571428572,0.8483928571428572
macro avg,0.8211420825135469,0.7986483134920636,0.808318246840741,16800.0
weighted avg,0.8488324253241966,0.8483928571428572,0.8475172035879042,16800.0
