method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh,metric,baseline_mean,recovery_mean
sac_her_recovery_v4,sac_her,action_delay,450,450,0.9244444444444444,0.9377777777777778,0.01333333333333342,0.0022222222222222365,0.026666666666666616,0.0703125,paired_mcnemar,0.515625,False,task_success_rate,,
sac_her_recovery_v4,sac_her,action_reversal,450,450,0.028888888888888888,0.02666666666666667,-0.002222222222222219,-0.006666666666666668,0.0,1.0,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4,sac_her,goal_spoof_immediate,450,450,0.08444444444444445,0.10222222222222223,0.01777777777777778,-0.01999999999999999,0.053333333333333344,0.40957939592707177,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4,sac_her,goal_spoof_midep,450,450,0.10444444444444445,0.10444444444444445,0.0,-0.039999999999999994,0.039999999999999994,1.0,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4,sac_her,object_pose_spoof,450,450,0.2644444444444444,0.2822222222222222,0.01777777777777778,-0.040000000000000036,0.07555555555555554,0.6019687530156481,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4,sac_her,grip_state_falsification,450,450,0.19777777777777777,0.14,-0.05777777777777776,-0.08222222222222222,-0.033333333333333354,6.16488978266716e-06,paired_mcnemar,0.00027125515043735504,True,task_success_rate,,
sac_her_recovery_v4,sac_her,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4_hx6,sac_her,clean,450,450,0.9977777777777778,1.0,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4_hx6,sac_her,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4_hx6,sac_her,sensor_bias,450,450,0.03111111111111111,0.02666666666666667,-0.004444444444444442,-0.020000000000000004,0.011111111111111113,0.79052734375,paired_mcnemar,1.0,False,task_success_rate,,
sac_her_recovery_v4_hx6,sac_her,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,task_success_rate,,
