method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh,comparison
sac_her_recovery_v4_hx6,sac_her_recovery_v4,clean,450,450,0.9977777777777778,1.0,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,vs_v4_hx2_v2_v3
sac_her_recovery_v4_hx6,sac_her_recovery_v4,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_hx2_v2_v3
sac_her_recovery_v4_hx6,sac_her_recovery_v4,sensor_bias,450,450,0.035555555555555556,0.02666666666666667,-0.008888888888888887,-0.02666666666666667,0.008888888888888887,0.454498291015625,paired_mcnemar,1.0,False,vs_v4_hx2_v2_v3
sac_her_recovery_v4_hx6,sac_her_recovery_v4,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,vs_v4_hx2_v2_v3
sac_her_recovery_v4_hx6,sac_her_recovery_v4,action_delay,450,450,0.9377777777777778,0.9377777777777778,0.0,-0.011111111111111072,0.011111111111111183,1.0,paired_mcnemar,1.0,False,vs_v4_hx2_v2_v3
sac_her_recovery_v4_hx6,sac_her_recovery_v4,action_reversal,450,450,0.02666666666666667,0.028888888888888888,0.002222222222222219,0.0,0.006666666666666668,1.0,paired_mcnemar,1.0,False,vs_v4_hx2_v2_v3
sac_her_recovery_v4_hx6,sac_her_recovery_v4,goal_spoof_immediate,450,450,0.10222222222222223,0.09555555555555556,-0.006666666666666668,-0.04666666666666666,0.033333333333333326,0.8264047244491931,paired_mcnemar,1.0,False,vs_v4_hx2_v2_v3
sac_her_recovery_v4_hx6,sac_her_recovery_v4,goal_spoof_midep,450,450,0.10444444444444445,0.12,0.015555555555555545,-0.02444444444444445,0.05555555555555555,0.5154257318839001,paired_mcnemar,1.0,False,vs_v4_hx2_v2_v3
sac_her_recovery_v4_hx6,sac_her_recovery_v4,object_pose_spoof,450,450,0.2822222222222222,0.24222222222222223,-0.03999999999999998,-0.1,0.01777777777777778,0.20999553888817196,paired_mcnemar,1.0,False,vs_v4_hx2_v2_v3
sac_her_recovery_v4_hx6,sac_her_recovery_v4,grip_state_falsification,450,450,0.14,0.18222222222222223,0.04222222222222222,0.022222222222222227,0.06444444444444444,0.00015652179718017578,paired_mcnemar,0.0022956530253092446,True,vs_v4_hx2_v2_v3
