method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh,comparison
sac_her_recovery_v4_hx5,sac_her_recovery_v4,clean,450,450,0.9977777777777778,1.0,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4,sensor_bias,450,450,0.035555555555555556,0.03333333333333333,-0.0022222222222222227,-0.015555555555555555,0.01111111111111111,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,-0.011111111111111072,0.015555555555555545,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4,action_delay,450,450,0.9377777777777778,0.9466666666666667,0.008888888888888835,-0.013333333333333308,0.031111111111111093,0.557197093963623,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4,action_reversal,450,450,0.02666666666666667,0.028888888888888888,0.002222222222222219,0.0,0.006666666666666668,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4,goal_spoof_immediate,450,450,0.10222222222222223,0.09777777777777778,-0.004444444444444445,-0.04444444444444445,0.03555555555555556,0.9132023622245976,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4,goal_spoof_midep,450,450,0.10444444444444445,0.12222222222222222,0.017777777777777767,-0.02444444444444445,0.06000000000000001,0.4704921148903704,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4,object_pose_spoof,450,450,0.2822222222222222,0.2288888888888889,-0.053333333333333316,-0.10666666666666669,0.0022222222222222088,0.06868229204120638,paired_mcnemar,0.7555052124532702,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4,grip_state_falsification,450,450,0.14,0.16666666666666666,0.026666666666666644,0.0022222222222222088,0.05111111111111112,0.05761267291381955,paired_mcnemar,0.7555052124532702,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,clean,450,450,1.0,1.0,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,sensor_bias,450,450,0.022222222222222223,0.03333333333333333,0.01111111111111111,-0.004444444444444442,0.026666666666666665,0.2265625,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,action_clipping,450,450,0.9911111111111112,0.9911111111111112,0.0,-0.011111111111111183,0.013333333333333308,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,action_delay,450,450,0.9377777777777778,0.9466666666666667,0.008888888888888835,-0.013388888888888954,0.033333333333333326,0.5715881884098053,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,action_reversal,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,goal_spoof_immediate,450,450,0.08444444444444445,0.09777777777777778,0.013333333333333336,-0.026666666666666658,0.05333333333333333,0.5715867180030723,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,goal_spoof_midep,450,450,0.12444444444444444,0.12222222222222222,-0.0022222222222222227,-0.04444444444444444,0.039999999999999994,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,object_pose_spoof,450,450,0.2511111111111111,0.2288888888888889,-0.022222222222222227,-0.08000000000000002,0.0333888888888881,0.5024453906833369,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,grip_state_falsification,450,450,0.18222222222222223,0.16666666666666666,-0.015555555555555572,-0.04000000000000001,0.00888888888888889,0.296206368599087,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her_recovery_v4_hx2,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx5,sac_her,clean,450,450,0.9977777777777778,1.0,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her,sensor_bias,450,450,0.03111111111111111,0.03333333333333333,0.0022222222222222227,-0.00888888888888889,0.013333333333333336,1.0,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,-0.011111111111111072,0.015555555555555545,1.0,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her,action_delay,450,450,0.9244444444444444,0.9466666666666667,0.022222222222222254,-0.0022222222222222365,0.04888888888888887,0.12144948495551944,paired_mcnemar,0.6679721672553569,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her,action_reversal,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her,goal_spoof_immediate,450,450,0.08444444444444445,0.09777777777777778,0.013333333333333336,-0.024444444444444435,0.05111111111111111,0.555997717760971,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her,goal_spoof_midep,450,450,0.10444444444444445,0.12222222222222222,0.017777777777777767,-0.022222222222222213,0.059999999999999984,0.45054757600158946,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her,object_pose_spoof,450,450,0.2644444444444444,0.2288888888888889,-0.035555555555555535,-0.09111111111111109,0.01999999999999999,0.23263498900407575,paired_mcnemar,0.852994959681611,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her,grip_state_falsification,450,450,0.19777777777777777,0.16666666666666666,-0.031111111111111117,-0.05777777777777779,-0.004444444444444445,0.028816719655878845,paired_mcnemar,0.3169839162146673,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_sac_her
sac_her_recovery_v4_hx5,sac_her_recovery_v3,goal_spoof_immediate,150,450,0.11333333333333333,0.09777777777777778,-0.015555555555555545,-0.07555555555555556,0.04000000000000001,0.5850995577435074,unpaired_bootstrap,0.5850995577435074,False,vs_v3_goal_spoof_only
sac_her_recovery_v4_hx5,sac_her_recovery_v3,goal_spoof_midep,150,450,0.15333333333333332,0.12222222222222222,-0.031111111111111103,-0.09999999999999998,0.033333333333333326,0.3264908479974622,unpaired_bootstrap,0.5850995577435074,False,vs_v3_goal_spoof_only
