method,baseline_method,condition,n_baseline,n_recovery,baseline_success_rate,recovery_success_rate,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh,comparison
sac_her_recovery_v4_hx3,sac_her_recovery_v4,clean,450,450,0.9977777777777778,1.0,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4,sensor_bias,450,450,0.035555555555555556,0.028888888888888888,-0.006666666666666668,-0.022222222222222223,0.008888888888888887,0.5810546875,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4,action_clipping,450,450,0.9888888888888889,0.9911111111111112,0.0022222222222222365,0.0,0.00666666666666671,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4,action_delay,450,450,0.9377777777777778,0.9377777777777778,0.0,-0.011111111111111072,0.011111111111111183,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4,action_reversal,450,450,0.02666666666666667,0.028888888888888888,0.002222222222222219,0.0,0.006666666666666668,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4,goal_spoof_immediate,450,450,0.10222222222222223,0.12222222222222222,0.01999999999999999,-0.020000000000000004,0.06,0.3856694201192796,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4,goal_spoof_midep,450,450,0.10444444444444445,0.08666666666666667,-0.01777777777777778,-0.05555555555555555,0.01999999999999999,0.4159851975073046,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4,object_pose_spoof,450,450,0.2822222222222222,0.26,-0.0222222222222222,-0.0822222222222222,0.03555555555555559,0.5094188993374421,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4,grip_state_falsification,450,450,0.14,0.19111111111111112,0.05111111111111111,0.03111111111111109,0.07333333333333333,1.5497207641601562e-06,paired_mcnemar,3.409385681152344e-05,True,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4,contact_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4_hx2,clean,450,450,1.0,1.0,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4_hx2,sensor_dropout,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4_hx2,sensor_bias,450,450,0.022222222222222223,0.028888888888888888,0.0066666666666666645,-0.008888888888888889,0.022222222222222223,0.5810546875,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4_hx2,action_clipping,450,450,0.9911111111111112,0.9911111111111112,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4_hx2,action_delay,450,450,0.9377777777777778,0.9377777777777778,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4_hx2,action_reversal,450,450,0.028888888888888888,0.028888888888888888,0.0,0.0,0.0,1.0,paired_mcnemar,1.0,False,vs_v4_or_hx2
sac_her_recovery_v4_hx3,sac_her_recovery_v4_hx2,goal_spoof_immediate,450,450,0.08444444444444445,0.12222222222222222,0.03777777777777777,-0.0022222222222222227,0.07783333333333253,0.08205429958748713,paired_mcnemar,0.628385811967222,False,vs_v4_or_hx2
