method,label,task_success_rate_overall,clean_task_performance,safety_violation_rate,detection_delay_steps,recovery_response_delay_steps,recovery_time_steps,num_interventions,completion_time_overhead_steps
sac_her,No recovery (SAC+HER),0.33454545454545453,0.9977777777777778,0.0026262626262626263,,,,,
sac_her_recovery_v2,Recovery v2 (earlier baseline),0.34,0.9977777777777778,0.026060606060606062,9.32450848285203,0.0,5.423555555555556,1.163333333333333,0.056166262062750084
sac_her_recovery_v3,Recovery v3 (earlier baseline),0.33616161616161616,0.9911111111111112,0.04040404040404041,9.490511653226879,0.0,11.141555555555557,1.072888888888889,2.7601833478348503
sac_her_recovery_v4,Recovery v4 (gradual-response CCAR),0.3339393939393939,0.9977777777777778,0.0006060606060606061,15.908822910521215,76.0966083552764,100.30866666666667,0.8557777777777777,-1.6474557664123244
sac_her_recovery_v4_hx6,"Recovery v4-HX6 (final, selective)",0.33474747474747474,1.0,0.0006060606060606061,20.02541024074221,66.5173088972431,95.49355555555555,1.1744444444444444,-0.39793691991881547
